Caf;Visites à l'accueil en 2009
CAF de l'Ain;107004
CAF de L'Aisne;220208
CAF de l'Allier;137180
CAF des Alpes de Haute-Provence;42940
CAF des Hautes-Alpes;49206
CAF des Alpes-Maritimes;399271
CAF de L'Ardèche;72987
CAF des Ardennes;122180
CAF de l'Ariège;36138
CAF de l'Aube;89733
CAF de l'Aude;176623
CAF de l'Aveyron;43343
CAF des Bouches-Du-Rhône;1103822
CAF du Calvados;194530
CAF du Cantal;30556
CAF de la Charente;86876
CAF de la Rochelle;127328
Caisse Maritime D'AF;2371
CAF du Cher;94968
CAF de la Correze;45417
CAF de Corse du Sud;62986
CAF de la Haute-Corse;67537
CAF de la Côte d'Or;127575
CAF des Côtes d'Armor;114943
CAF de la Creuse;27625
CAF de la Dordogne;89515
CAF du Doubs;202899
CAF de la Drome;158461
CAF de l'Eure;156017
CAF de l'Eure-et-Loir;108661
CAF du Finistère;240865
CAF du Gard;321738
CAF de la Haute-Garonne;513733
CAF du Gers;43801
CAF de la Gironde;412500
CAF de L'Hérault;612276
CAF de l'Ille-et-Vilaine;281799
CAF de l'Indre;55993
CAF Touraine;120346
CAF de L'Isère;382865
CAF du Jura;58488
CAF des Landes;92810
CAF de Loir-et-Cher;67923
CAF de la Loire;280970
CAF de la Haute-Loire;52564
CAF de Loire-Atlantique;262271
CAF du Loiret;163667
CAF du Lot;35088
CAF de Lot-et-Garonne;109284
CAF de la Lozere;12080
CAF de Maine-et-Loire;219330
CAF de la Manche;157492
CAF de la Marne;196532
CAF de la Haute-Marne;45252
CAF de la Mayenne;69186
CAF de la Meurthe-et-Moselle;147882
CAF de la Meuse;29106
CAF du Morbihan;223132
CAF de la Moselle;263345
CAF de la Nièvre;57730
CAF du Nord;1282360
CAF de l'Oise;224855
CAF de l'Orne;59455
CAF du Pas de Calais;373488
CAF du Puy-de-Dôme;187504
CAF du Pays Basque et Seignanx;84410
CAF du Béarn et de la Soule;97351
CAF des Hautes-Pyrénées;87018
CAF des Pyrénées-Orientales;229325
CAF du Bas-Rhin;348550
CAF du Haut-Rhin;246962
CAF du Rhône;639708
CAF de la Haute-Saône;52905
CAF de la Saône-et-Loire;159638
CAF de la Sarthe;145958
CAF de la Savoie;96386
CAF de la Haute Savoie;137967
CAF de Paris;836941
CAF de Seine Maritime;447702
CAF de Seine-et-Marne;273743
CAF des Yvelines;356422
CAF des Deux-Sèvres;77500
CAF de la Somme;165162
CAF du Tarn;126015
CAF de Tarn-et-Garonne;97755
CAF du Var;269407
CAF du Vaucluse;186575
CAF de la Vendée;99145
CAF de la Vienne;142046
CAF de la Haute-Vienne;97583
CAF des Vosges;90911
CAF de l'Yonne;94275
CAF du Territoire de Belfort;63975
CAF de l'Essonne;370051
CAF des Hauts-de-Seine;496977
CAF de Seine-Saint-Denis;840667
CAF du Val-de-Marne;351738
CAF du Val d'Oise;358367
CAF de la Guadeloupe;99328
CAF de la Martinique;163283
CAF de la Guyane;141514
CAF de la Réunion;450303
