Caf;Taux d'appels traités par les agents en 2013
CAF de l'Ain;91.305728481
CAF de L'Aisne;90.897609231
CAF de l'Allier;92.308075922
CAF des Alpes de Haute-Provence;62.068965517
CAF des Hautes-Alpes;63.217058991
CAF des Alpes-Maritimes;33.864304829
CAF de L'Ardèche;87.881708822
CAF des Ardennes;90.783481044
CAF de l'Ariège;85.490180099
CAF de l'Aube;89.873003166
CAF de l'Aude;76.901695764
CAF de l'Aveyron;91.302222455
CAF des Bouches-Du-Rhône;60.402726679
CAF du Calvados;94.858191036
CAF du Cantal;93.218088502
CAF de la Charente;83.83077667
CAF de la Rochelle;83.315483094
Caisse Maritime D'AF;95.416074628
CAF du Cher;91.879898944
CAF de la Correze;91.743939595
CAF de Corse du Sud;52.894211577
CAF de la Haute-Corse;54.035357417
CAF de la Côte d'Or;82.26232307
CAF des Côtes d'Armor;88.981625464
CAF de la Creuse;91.456480028
CAF de la Dordogne;96.10888856
CAF du Doubs;89.451466801
CAF de la Drome;87.944618452
CAF de l'Eure;87.143543549
CAF de l'Eure-et-Loir;86.919123046
CAF du Finistère;74.250959994
CAF du Gard;87.669632561
CAF de la Haute-Garonne;86.181116077
CAF du Gers;84.739343397
CAF de la Gironde;55.535100181
CAF de L'Hérault;73.34882259
CAF de l'Ille-et-Vilaine;65.018410239
CAF de l'Indre;85.487889375
CAF Touraine;92.305216082
CAF de L'Isère;89.73765637
CAF du Jura;89.425826038
CAF des Landes;93.396951321
CAF de Loir-et-Cher;84.963569391
CAF de la Loire;87.772459533
CAF de la Haute-Loire;84.882966512
CAF de Loire-Atlantique;91.511664269
CAF du Loiret;85.167521461
CAF du Lot;92.506897508
CAF de Lot-et-Garonne;95.433845591
CAF de la Lozere;98.089480048
CAF de Maine-et-Loire;90.173781002
CAF de la Manche;92.476351035
CAF de la Marne;91.154804802
CAF de la Haute-Marne;91.428632929
CAF de la Mayenne;91.359674522
CAF de la Meurthe-et-Moselle;91.053413623
CAF de la Meuse;82.790057485
CAF du Morbihan;66.957499287
CAF de la Moselle;83.044351964
CAF de la Nièvre;88.851636038
CAF du Nord;67.206672691
CAF de l'Oise;92.017129537
CAF de l'Orne;92.295729929
CAF du Pas de Calais;70.693526217
CAF du Puy-de-Dôme;81.83007718
CAF du Pays Basque et Seignanx;94.910354603
CAF du Béarn et de la Soule;85.234249454
CAF des Hautes-Pyrénées;85.441789386
CAF des Pyrénées-Orientales;74.148511387
CAF du Bas-Rhin;93.076097279
CAF du Haut-Rhin;92.122610569
CAF du Rhône;90.054210667
CAF de la Haute-Saône;89.076212145
CAF de la Saône-et-Loire;90.425247567
CAF de la Sarthe;90.102495835
CAF de la Savoie;91.555900093
CAF de la Haute Savoie;87.984713509
CAF de Paris;90.818289551
CAF de Seine Maritime;87.257834872
CAF de Seine-et-Marne;62.368471225
CAF des Yvelines;91.989400411
CAF des Deux-Sèvres;87.195601485
CAF de la Somme;92.058199898
CAF du Tarn;85.277259028
CAF de Tarn-et-Garonne;85.774324003
CAF du Var;72.891587902
CAF du Vaucluse;93.045223577
CAF de la Vendée;90.00336304
CAF de la Vienne;77.299790697
CAF de la Haute-Vienne;79.236936471
CAF des Vosges;82.92795427
CAF de l'Yonne;89.919241573
CAF du Territoire de Belfort;89.759036145
CAF de l'Essonne;81.820670773
CAF des Hauts-de-Seine;93.632464533
CAF de Seine-Saint-Denis;75.559303428
CAF du Val-de-Marne;72.360285955
CAF du Val d'Oise;96.115512474
CAF de la Guadeloupe;50.908216451
CAF de la Martinique;32.69008357
CAF de la Guyane;55.412401079
CAF de la Réunion;61.663695387
