"Année","Date","Heure","Événement"
2013,"Vendredi 4 janvier ","19h ","Assemblée Générale des Amis de l'Estrigon à la Salle Michel Fourcade"
2013,"Samedi 12 janvier","18h ","Vœux du Maire à la salle de l'Etang"
2013,"Vendredi 18 janvier","19h ","Voeux du président de Brocas Pétanque au Boulodrome"
2013,"Vendredi 18 janvier","20h","Repas gastronomique au Cercle des Travailleurs"
2013,"Samedi 26 janvier","21h","Soirée Spectacle au Cercle des Travailleurs"
2013,"Samedi 2 février","20h","Repas organisé par l'USB Football Salle de l'Etang"
2013,"Vendredi 15 février","20h","Repas gastronomique au Cercle des Travailleurs"
2013,"Samedi 23 février","21h","Soirée Spectacle au Cercle des Travailleurs"
2013,"Vendredi 15 mars","20h","Repas gastronomique au Cercle des Travailleurs"
2013,"Samedi 16 mars","20h","Repas de l'Ecole de Foot à la Salle de l'Etang"
2013,"Jeudi 21 mars","20h","Soirée"" lectures"" entre amis au Cercle des Travailleurs"
2013,"Samedi 23 /Dimanche 24 mars","N.C.","Métiers d'Art à la Salle de l'Etang"
2013,"Samedi 23 mars ","21h","Soirée Spectacle au Cercle des Travailleurs"
2013,"Vendredi 5 avril ","20h","Repas gastronomique au Cercle des Travailleurs"
2013,"Samedi 13 avril","12h ","Banquet des Chasseurs à la Salle de l'Etang"
2013,"Samedi 20 avril","N.C.","Journée des 30 ans du club au Boulodrome / Repas Salle Etang"
2013,"Samedi 27 avril ","21h","Soirée Spectacle au Cercle des Travailleurs"
2013,"Mercredi 1er mai","N.C.","Repas gastronomique au Cercle des Travailleurs"
2013,"Vendredi 3 Mai ","20h30","Concours en triplettes"
2013,"Mercredi 8 mai","N.C.","Commémoration de l'Armistice de la Seconde Guerre Mondiale"
2013,"Samedi 11mai ","12h ","Repas Inter ACCA aux Arènes de Brocas"
2013,"Dimanche 26 mai ","N.C.","Kermesse organisée par les Amis de l'Estrigon sur les berges de l'Etang"
2013,"Samedi 15 juin","N.C.","Gala de danse organisé par Broc'Attitude"
2013,"Dimanche 16 juin","N.C.","Journée Pétanque féminine /Repas Salle Etang"
2013,"Vendredi 21 juin ","21h","Fête de la Musique au Cercle des Travailleurs"
2013,"Samedi 22 juin ","19h","5 ème édition de Brocas Fête L'Eté aux Arènes"
2013,"Du 5 au 8 juillet","N.C.","Fêtes Patronales de la St Jean (Programme"
2013,"Dimanche 14 juillet ","N.C.","Ball Trap organisé par l'ACCA de Brocas"
2013,"Vendredi 26 juillet ","N.C.","4 ème Marché des Producteurs de Pays sur l'Esplanade des Forges"
2013,"Vendredi 23/Dimanche 25 août","N.C.","4ème Trike Pote autour des Arènes"
2013,"Samedi 24 août ","10h","Assemblée Générale de l'ACCA à la Maison de la Chasse"
2013,"Vendredi 6 septembre ","20h30","Concours Officiel Pétanque"
2013,"Samedi 14 septembre","21h","Soirée Spectacle au Cercle des Travailleurs"
2013,"Samedi 19 octobre","21h","Soirée Spectacle au Cercle des Travailleurs"
2013,"Jeudi 24 octobre ","N.C.","Soirée ""lectures"" entre amis au Cercle des Travailleurs"
2013,"Lundi 11 novembre","N.C.","Commémoration de l'Armistice de la Guerre 1914-1918"
2013,"Samedi 16 novembre","21h","Soirée Spectacle au Cercle des Travailleurs"
2013,"Vendredi 22 novembre","20h","Repas gastronomique au Cercle des Travailleurs"
2013,"Samedi 14 décembre","21h","Soirée Spectacle au Cercle des Travailleurs"
2013,"Mardi 31 décembre","N.C.","Réveillon de la Saint Sylvestre organisé par l'ACCA à la Salle de l'Etang"
