Nom_POI,Latitude,Longitude,Adresse,URL_QRCode,URL_NFC
Mairie de Lantosque,43.9742383 , 7.312375299999985,Place de la Mairie 06450 Lantosque France,http://tag.nice.fr/me6qwb67sa4j,http://tag.nice.fr/1xuhq0ehxfy2k
Office de tourisme de Coaraze,43.866218 , 7.297959999999989,569-746 Route du Col Saint-Roch 06390 Coaraze France,http://tag.nice.fr/1rzri0yp5j3j3,http://tag.nice.fr/ea4f10xrmem3
Mairie de la Roquette,43.830688 , 7.199281000000042,2827 Route de Levens 06670 La Roquette-sur-Var France,http://tag.nice.fr/16ca68zqitwod,http://tag.nice.fr/f5a67hm1x91w
Eze,43.730422 , 7.361844000000019,Chemin Serre du Fourque 06360 ‘ze France,http://tag.nice.fr/2x48jw8x1aqn,http://tag.nice.fr/jgqra14760bu
Office de tourisme de Carros,43.796252 , 7.187778999999978,D2209 06510 Carros France,http://tag.nice.fr/h8k5s8tv1qhk,http://tag.nice.fr/1gbdxhrjg9zc3
Mairie de Duranus,43.896903 , 7.258331999999996,Chemin de Saint-Michel 06670 Duranus France,http://tag.nice.fr/gk53dx5ixlqn,http://tag.nice.fr/1ryuek71hzt4m
Mairie d'Aspremont,43.786587 , 7.244598999999994,319 Avenue Caravadossi 06790 Aspremont France,http://tag.nice.fr/xgculg72c63a,http://tag.nice.fr/1ajvvcthh591l
Mairie de St Blaise,43.824744 , 7.238763000000063,139 Chemin de li Plan 06670 Saint-Blaise France,http://tag.nice.fr/1iv4gtqtjtgsj,http://tag.nice.fr/1x9zlhd4ilhwy
Mairie de Falicon,43.750823 , 7.279287999999951,Bauquiäre 06950 Falicon France,http://tag.nice.fr/p4trh5domso1,http://tag.nice.fr/a9c6kchraczk
Mairie de Tourrette-Levens,43.790924 , 7.275644000000057,Chemin du Puei 06690 Tourrette-Levens France,http://tag.nice.fr/1uhi172hiv376,http://tag.nice.fr/fuya4z40xw1x
Office de tourisme de La Gaude,43.7267 , 7.151902000000064,368-450 Chemin Hugues Berenguier 06610 La Gaude France,http://tag.nice.fr/1wvxe9rt8pgc9,http://tag.nice.fr/ldtp088ivjuy
Office de tourisme de St Jeannet,43.752993 , 7.1431219999999485,209-255 Chemin des Lucioles 06640 Saint-Jeannet France,http://tag.nice.fr/1mf6knwtoeqji,http://tag.nice.fr/1iisszrzpd2ys
Castagniers,43.792535 , 7.22863499999994,220 Chemin du Vignon 06670 Castagniers France,http://tag.nice.fr/1bttxip28umxh,http://tag.nice.fr/icxkzbtw8dfx
Office de tourisme de Levens,43.866961 , 7.225176000000033,640 Route de Duranus 06670 Levens France,http://tag.nice.fr/1fegi1ue2z5gw,http://tag.nice.fr/124ks37fisxkc
Mairie d'Utelle,43.929055 , 7.246067000000039,M32 06450 Utelle France,http://tag.nice.fr/4am6t051ygp6,http://tag.nice.fr/7injk57f6too
Mairie de Colomars,43.768243 , 7.222112000000038,4-20 Chemin du Baou 06670 Colomars France,http://tag.nice.fr/5qidr0tvgabs,http://tag.nice.fr/buoo0grt6cl3
