Departement,Population,Capacite-autofinancement
Ain,629786,64 M€
Aisne,555400,32 M€
Allier,353246,35 M€
Alpes-de-Haute-Provence,166316,24 M€
Hautes-Alpes,144950,22 M€
Alpes-Maritimes,1098465,130 M€
Ardèche,328189,41 M€
Ardennes,291031,17 M€
Ariège,158154,31 M€
Aube,313892,38 M€
Aude,372259,52 M€
Aveyron,287806,42 M€
Bouches-du-Rhône,2014702,287 M€
Calvados,704567,84 M€
Cantal,153268,21 M€
Charente,366776,42 M€
Charente-Maritime,648031,94 M€
Cher,320019,15 M€
Corrèze,249856,34 M€
Corse-du-Sud,147823,40 M€
Haute-Corse,173659,23 M€
Côte-d'Or,541517,58 M€
Côtes-d'Armor,616013,63 M€
Creuse,126511,8 M€
Dordogne,429268,52 M€
Doubs,545888,56 M€
Drôme,506210,90 M€
Eure,609226,52 M€
Eure-et-Loir,443490,48 M€
Finistère,932896,78 M€
Gard,742441,59 M€
Haute-Garonne,1306125,197 M€
Gers,196930,16 M€
Gironde,1514870,141 M€
Hérault,1097047,117 M€
Ille-et-Vilaine,1036181,97 M€
Indre,235956,31 M€
Indre-et-Loire,612305,61 M€
Isère,1253410,170 M€
Jura,271439,26 M€
Landes,406809,45 M€
Loir-et-Cher,342224,26 M€
Loire,771367,58 M€
Haute-Loire,233488,35 M€
Loire-Atlantique,1349609,110 M€
Loiret,681086,76 M€
Lot,181165,24 M€
Lot-et-Garonne,342903,28 M€
Lozère,81100,19 M€
Maine-et-Loire,819366,54 M€
Manche,517998,63 M€
Marne,582786,34 M€
Haute-Marne,188859,30 M€
Mayenne,318159,30 M€
Meurthe-et-Moselle,747707,73 M€
Meuse,199315,19 M€
Morbihan,756098,113 M€
Moselle,1068417,65 M€
Nièvre,224349,15 M€
Nord,2627956,105 M€
Oise,830778,56 M€
Orne,299461,36 M€
Pas-de-Calais,1490820,40 M€
Puy-de-Dôme,655498,73 M€
Pyrénées-Atlantiques,682631,66 M€
Hautes-Pyrénées,236996,40 M€
Pyrénées-Orientales,466712,57 M€
Bas-Rhin,1124434,129 M€
Haut-Rhin,771668,66 M€
Rhône,1795663,28 M€
Haute-Saône,247742,32 M€
Saône-et-Loire,574111,63 M€
Sarthe,583633,60 M€
Savoie,435353,82 M€
Haute-Savoie,780341,168 M€
Paris,2265886,30 M€
Seine-Maritime,1279955,145 M€
Seine-et-Marne,1377102,118 M€
Yvelines,1440274,90 M€
Deux-Sèvres,383123,19 M€
Somme,583783,42 M€
Tarn,391048,44 M€
Tarn-et-Garonne,253577,32 M€
Var,1039603,141 M€
Vaucluse,558623,53 M€
Vendée,668554,93 M€
Vienne,441319,38 M€
Haute-Vienne,384604,48 M€
Vosges,390787,60 M€
Yonne,352750,23 M€
Territoire de Belfort,147528,11 M€
Essonne,1257065,97 M€
Hauts-de-Seine,1606154,427 M€
Seine-Saint-Denis,1551739,89 M€
Val-de-Marne,1354911,64 M€
Val-d'Oise,1203920,67 M€
Autre,2107992,149 M€
