SYSDATE,ADRESSE_PAYS,DPT_CODE,DPT_LIBELLE,CANTON_CODE,CANTON_LIBELLE,CIRCONSCRIPTION_CODE,CIRCONSCRIPTION_LIBELLE, INSEE_CODE,BUREAU_CODE,BUREAU_LIBELLE,ADRESSE_NUMVOIE,ADRESSE_LIBVOIE,ADRESSE_COMPLEMENT1,ADRESSE_COMPLEMENT2,ADRESSE_LIEUDIT,ADRESSE_CODEPOSTAL,ADRESSE_COMMUNE
11/20/2019 18:03:29,FRANCE,38,ISERE,38-05,Echirolles,38-02,38-02,38151,0001,HOTEL DE VILLE,1,PLACE DES 5 FONTAINES,,,,38130,ECHIROLLES
11/20/2019 18:03:29,FRANCE,38,ISERE,38-05,Echirolles,38-02,38-02,38151,0002,JEAN PIERRE MELVILLE,1,RUE JEAN RENOIR,ESPACE MELVILLE,,,38130,ECHIROLLES
11/20/2019 18:03:29,FRANCE,38,ISERE,38-05,Echirolles,38-02,38-02,38151,0003,PAUL LANGEVIN,15,RUE MISSAK MANOUCHIAN,RESTAURANT SCOLAIRE PAUL LANGEVIN,,,38130,ECHIROLLES
11/20/2019 18:03:29,FRANCE,38,ISERE,38-05,Echirolles,38-02,38-02,38151,0004,PAUL LANGEVIN,15,RUE MISSAK MANOUCHIAN,RESTAURANT SCOLAIRE PAUL LANGEVIN,,,38130,ECHIROLLES
11/20/2019 18:03:29,FRANCE,38,ISERE,38-05,Echirolles,38-02,38-02,38151,0005,ESTIENNE D'ORVES,2,SQUARE DU CHAMP DE LA ROUSSE,ESPACE ESTIENNE D'ORVES,,,38130,ECHIROLLES
11/20/2019 18:03:29,FRANCE,38,ISERE,38-05,Echirolles,38-02,38-02,38151,0006,LA RAMPE,15,AVENUE DU 8 MAI 1945,SALLE MANDELA,,,38130,ECHIROLLES
11/20/2019 18:03:29,FRANCE,38,ISERE,38-05,Echirolles,38-02,38-02,38151,0007,AUGUSTE DELAUNE,10,RUE GALILÉE,ÉCOLE MATERNELLE AUGUSTE DELAUNE,SALLE DE JEUX,,38130,ECHIROLLES
11/20/2019 18:03:29,FRANCE,38,ISERE,38-05,Echirolles,38-02,38-02,38151,0008,AUGUSTE DELAUNE,10,RUE GALILÉE,ÉCOLE MATERNELLE AUGUSTE DELAUNE,SALLE DE JEUX,,38130,ECHIROLLES
11/20/2019 18:03:29,FRANCE,38,ISERE,38-05,Echirolles,38-02,38-02,38151,0009,MARCEL DAVID,,RUE DU DOCTEUR VALOIS,GYMNASE MARCEL DAVID,,,38130,ECHIROLLES
11/20/2019 18:03:29,FRANCE,38,ISERE,38-05,Echirolles,38-02,38-02,38151,0010,DANIELLE CASANOVA,34,AVENUE DANIELLE CASANOVA,RESTAURANT SCOLAIRE DANIELLE CASANOVA,,,38130,ECHIROLLES
11/20/2019 18:03:29,FRANCE,38,ISERE,38-05,Echirolles,38-02,38-02,38151,0011,DANIELLE CASANOVA,34,AVENUE DANIELLE CASANOVA,RESTAURANT SCOLAIRE DANIELLE CASANOVA,,,38130,ECHIROLLES
11/20/2019 18:03:29,FRANCE,38,ISERE,38-05,Echirolles,38-02,38-02,38151,0012,PAUL VAILLANT-COUTURIER,,AVENUE PAUL VAILLANT COUTURIER,ÉCOLE MATERNELLE PAUL VAILLANT COUTURIER,SALLE DE JEUX,,38130,ECHIROLLES
11/20/2019 18:03:29,FRANCE,38,ISERE,38-05,Echirolles,38-02,38-02,38151,0013,PAUL VAILLANT-COUTURIER,,AVENUE PAUL VAILLANT COUTURIER,ECOLE MATERNELLE PAUL VAILLANT COUTURIER,SALLE DE JEUX,,38130,ECHIROLLES
11/20/2019 18:03:29,FRANCE,38,ISERE,38-05,Echirolles,38-02,38-02,38151,0014,JEAN JAURES,10,RUE RENÉ THOMAS,RESTAURANT SCOLAIRE JEAN JAURES,,,38130,ECHIROLLES
11/20/2019 18:03:29,FRANCE,38,ISERE,38-05,Echirolles,38-02,38-02,38151,0015,JEAN-PAUL MARAT,3,ALLÉE D'OUESSANT,ECOLE ÉLÉMENTAIRE JEAN-PAUL MARAT,PRÉAU,,38130,ECHIROLLES
11/20/2019 18:03:29,FRANCE,38,ISERE,38-05,Echirolles,38-02,38-02,38151,0016,JEAN-PAUL MARAT,3,ALLÉE DOUESSANT,ÉCOLE ÉLÉMENTAIRE JEAN-PAUL MARAT,PRÉAU,,38130,ECHIROLLES
11/20/2019 18:03:29,FRANCE,38,ISERE,38-05,Echirolles,38-02,38-02,38151,0017,MARCEL CACHIN,1,RUE DU BERRY,ÉCOLE ÉLÉMENTAIRE MARCEL CACHIN,PRÉAU COUVERT,,38130,ECHIROLLES
11/20/2019 18:03:29,FRANCE,38,ISERE,38-05,Echirolles,38-02,38-02,38151,0018,MARCEL CACHIN,1,RUE DU BERRY,ÉCOLE ÉLÉMENTAIRE MARCEL CACHIN,PRÉAU COOUVERT,,38130,ECHIROLLES
11/20/2019 18:03:29,FRANCE,38,ISERE,38-05,Echirolles,38-02,38-02,38151,0019,JEAN MOULIN,4,ALLÉE DU RHIN,ÉCOLE ÉLÉMENTAIRE JEAN MOULIN,PRÉAU COUVERT,,38130,ECHIROLLES
11/20/2019 18:03:29,FRANCE,38,ISERE,38-05,Echirolles,38-02,38-02,38151,0020,JEAN MOULIN,4,ALLÉE DU RHIN,ÉCOLE ÉLÉMENTAIRE JEAN MOULIN,PRÉAU COUVERT,,38130,ECHIROLLES
11/20/2019 18:03:29,FRANCE,38,ISERE,38-05,Echirolles,38-02,38-02,38151,0021,FREDERIC JOLIOT-CURIE,37,AVENUE FRÉDÉRIC JOLIOT-CURIE,RESTAURANT SCOLAIRE FRÉDÉRIC JOLIOT-CURIE,,,38130,ECHIROLLES
11/20/2019 18:03:29,FRANCE,38,ISERE,38-05,Echirolles,38-02,38-02,38151,0022,IRENE JOLIOT-CURIE,37,AVENUE FRÉDÉRIC JOLIOT-CURIE,ÉCOLE MATERNELLE IRÈNE JOLIOT-CURIE,SALLE DE JEUX,,38130,ECHIROLLES
